Column 1;Column 2 (V);Index;Corrected time (s);WE(1).Current (A)
2;0.183;1;0;5.1239013671875E-06
;;2;0.999999997475243;4.742431640625E-06
;;3;1.99999999495049;4.6539306640625E-06
;;4;2.99999999242573;4.547119140625E-06
;;5;3.99999998990097;4.443359375E-06
;;6;4.99999998737621;4.32739257812501E-06
;;7;5.99999998485146;4.290771484375E-06
;;8;6.9999999823267;4.2236328125E-06
;;9;7.99999997980194;4.15954589843751E-06
;;10;8.99999997727718;4.0863037109375E-06
;;11;9.99999997475243;4.06494140624999E-06
;;12;10.9999999722277;3.9794921875E-06
;;13;11.9999999697029;3.924560546875E-06
;;14;12.9999999671782;3.8421630859375E-06
;;15;13.9999999646534;3.85131835937499E-06
;;16;14.9999999621286;3.741455078125E-06
;;17;15.9999999596039;3.6773681640625E-06
;;18;16.9999999570791;3.7078857421875E-06
;;19;17.9999999545544;3.64990234375E-06
;;20;18.9999999520296;3.60107421875E-06
;;21;19.9999999495049;3.67431640625E-06
;;22;20.9999999469801;3.4820556640625E-06
;;23;21.9999999444553;3.4820556640625E-06
;;24;22.9999999419306;3.4210205078125E-06
;;25;23.9999999394058;3.45764160156251E-06
;;26;24.9999999368811;3.37829589843749E-06
;;27;25.9999999343563;3.35693359375E-06
;;28;26.9999999318316;3.36303710937499E-06
;;29;27.9999999293068;3.2501220703125E-06
;;30;28.999999926782;3.25622558593749E-06
